Source,Target,Type,Id,Label,Weight,batchname
taihudu,wangxm,Directed,7937,,1,wangxm_2
taihudu,wuzhiwo,Directed,7938,,1,wuzhiwo_2
taiwanfloods,wuzhiwo,Directed,7939,,1,wuzhiwo_2
take9u,ooof,Directed,7940,,1,ooof_2
talkde,ooof,Directed,7941,,1,ooof_2
tanainaidegou,waffler22,Directed,7942,,1,waffler22_2
taneyana,ooof,Directed,7943,,1,ooof_2
tanghaiyun,waffler22,Directed,7944,,1,waffler22_2
tangzhehao,ooof,Directed,7945,,1,ooof_2
tanqin1984,ooof,Directed,7946,,1,ooof_2
tanyp,ooof,Directed,7947,,1,ooof_2
tanyp,wangxm,Directed,7948,,1,wangxm_2
taobao1688,ooof,Directed,7949,,1,ooof_2
taweili,ooof,Directed,7950,,1,ooof_2
TCCcash,wangxm,Directed,7951,,1,wangxm_2
tdbpa,waffler22,Directed,7952,,1,waffler22_2
tealuo,waffler22,Directed,7953,,1,waffler22_2
techsina,ooof,Directed,7954,,1,ooof_2
tedlian,waffler22,Directed,7955,,1,waffler22_2
tedstifler,wuzhiwo,Directed,7956,,1,wuzhiwo_2
tedtochina,ooof,Directed,7957,,1,ooof_2
ted_cn,ooof,Directed,7959,,1,ooof_2
tefful,ooof,Directed,7960,,1,ooof_2
tekkon,waffler22,Directed,7961,,1,waffler22_2
telshl,waffler22,Directed,7962,,1,waffler22_2
tenderpink,ooof,Directed,7963,,1,ooof_2
terence_h,ooof,Directed,7967,,1,ooof_2
terry_t_t,ooof,Directed,7968,,1,ooof_2
tests123,wuzhiwo,Directed,7969,,1,wuzhiwo_2
tfdream,waffler22,Directed,7970,,1,waffler22_2
tgglmahm,ooof,Directed,7971,,1,ooof_2
th7353,ooof,Directed,7972,,1,ooof_2
thanks723,ooof,Directed,7973,,1,ooof_2
thelilei,ooof,Directed,7974,,1,ooof_2
therealmccain,ooof,Directed,7975,,1,ooof_2
TheSe7en,wangxm,Directed,7976,,1,wangxm_2
thetwitadder,wangxm,Directed,7977,,1,wangxm_2
thewildsound,ooof,Directed,7978,,1,ooof_2
thiagowong,wuzhiwo,Directed,7979,,1,wuzhiwo_2
thinker1983,wangxm,Directed,7980,,1,wangxm_2
thisistomyang,wuzhiwo,Directed,7981,,1,wuzhiwo_2
thorstenteng,waffler22,Directed,7982,,1,waffler22_2
thw,ooof,Directed,7983,,1,ooof_2
tiancaijushi,ooof,Directed,7984,,1,ooof_2
tianchaoren,ooof,Directed,7985,,1,ooof_2
tianchunye,wuzhiwo,Directed,7986,,1,wuzhiwo_2
tiankong1,wangxm,Directed,7989,,1,wangxm_2
tianshengxibei,wangxm,Directed,7990,,1,wangxm_2
tianshi_angel,ooof,Directed,7991,,1,ooof_2
tiau_net,waffler22,Directed,7992,,1,waffler22_2
tieshangonzhu,waffler22,Directed,7994,,1,waffler22_2
tieshangonzhu,ooof,Directed,7993,,1,ooof_2
tiexiaosan,wuzhiwo,Directed,7995,,1,wuzhiwo_2
tiffanychen0616,ooof,Directed,7996,,1,ooof_2
tigerbus,ooof,Directed,7997,,1,ooof_2
tigerwu,ooof,Directed,7998,,1,ooof_2
tilliepfeffer,wuzhiwo,Directed,7999,,1,wuzhiwo_2
timesharepages,wuzhiwo,Directed,8000,,1,wuzhiwo_2
timzhong,ooof,Directed,8001,,1,ooof_2
tingnai,wuzhiwo,Directed,8002,,1,wuzhiwo_2
tingyu99,wuzhiwo,Directed,8003,,1,wuzhiwo_2
tinkerbelljoce,waffler22,Directed,8004,,1,waffler22_2
tinyyuan,ooof,Directed,8005,,1,ooof_2
tiramisumumu,ooof,Directed,8006,,1,ooof_2
tjqimen,wangxm,Directed,8007,,1,wangxm_2
tmas68,ooof,Directed,8008,,1,ooof_2
tmdway,waffler22,Directed,8009,,1,waffler22_2
together255,ooof,Directed,8011,,1,ooof_2
tom92317,wangxm,Directed,8012,,1,wangxm_2
tomato___,ooof,Directed,8013,,1,ooof_2
tomm344,wangxm,Directed,8014,,1,wangxm_2
tommycnbj,ooof,Directed,8015,,1,ooof_2
tonchaplease,wangxm,Directed,8017,,1,wangxm_2
tonghongli,wangxm,Directed,8018,,1,wangxm_2
tonghuashijie,ooof,Directed,8019,,1,ooof_2
tonking1987,ooof,Directed,8020,,1,ooof_2
tony1022,ooof,Directed,8021,,1,ooof_2
tony200299,waffler22,Directed,8022,,1,waffler22_2
tonydongbo,ooof,Directed,8023,,1,ooof_2
tonywong45,wuzhiwo,Directed,8024,,1,wuzhiwo_2
tornadowang,waffler22,Directed,8025,,1,waffler22_2
torproject,ooof,Directed,8026,,1,ooof_2
totolook,ooof,Directed,8027,,1,ooof_2
totolook,wuzhiwo,Directed,8029,,1,wuzhiwo_2
ToToLook,wangxm,Directed,8028,,1,wangxm_2
tottome,ooof,Directed,8030,,1,ooof_2
toubao,wangxm,Directed,8031,,1,wangxm_2
toubao,wuzhiwo,Directed,8032,,1,wuzhiwo_2
tounaofare8964,ooof,Directed,8033,,1,ooof_2
toutiao,ooof,Directed,8034,,1,ooof_2
towerleung,ooof,Directed,8035,,1,ooof_2
toyotu,wangxm,Directed,8036,,1,wangxm_2
toyuan2010,wangxm,Directed,8037,,1,wangxm_2
tqianyang,wangxm,Directed,8038,,1,wangxm_2
tqin,waffler22,Directed,8039,,1,waffler22_2
tqin,wangxm,Directed,8040,,1,wangxm_2
trai25,ooof,Directed,8041,,1,ooof_2
travelicon,wangxm,Directed,8042,,1,wangxm_2
travelrecorder,ooof,Directed,8043,,1,ooof_2
trendplus,ooof,Directed,8044,,1,ooof_2
trendplus,wuzhiwo,Directed,8045,,1,wuzhiwo_2
trevorhu,ooof,Directed,8046,,1,ooof_2
troyding,ooof,Directed,8047,,1,ooof_2
trshlhyk,wangxm,Directed,8048,,1,wangxm_2
truebreaker,wuzhiwo,Directed,8049,,1,wuzhiwo_2
tsangck,ooof,Directed,8050,,1,ooof_2
tsangpeilei,ooof,Directed,8051,,1,ooof_2
tsaomin,ooof,Directed,8052,,1,ooof_2
tsenfine,ooof,Directed,8053,,1,ooof_2
tsiens,ooof,Directed,8054,,1,ooof_2
ttaroundyou,ooof,Directed,8055,,1,ooof_2
ttsunzhonghuai,ooof,Directed,8056,,1,ooof_2
ttxxhh,wangxm,Directed,8057,,1,wangxm_2
tuanjiegonghui,wangxm,Directed,8058,,1,wangxm_2
tuanzou,ooof,Directed,8059,,1,ooof_2
tub123,ooof,Directed,8060,,1,ooof_2
tufuwugan,wangxm,Directed,8061,,1,wangxm_2
tuituji_tuite,waffler22,Directed,8062,,1,waffler22_2
tuny_tai,wangxm,Directed,8063,,1,wangxm_2
tuzr123,ooof,Directed,8064,,1,ooof_2
tweetwawa,ooof,Directed,8065,,1,ooof_2
tweety_tips,ooof,Directed,8066,,1,ooof_2
twelve,ooof,Directed,8067,,1,ooof_2
twemes,ooof,Directed,8068,,1,ooof_2
